Starting..
====================
iteration 0
Starting job in nedd policy..
startTime:Sat Jan 23 15:09:30 PST 2021

# Create System:
# Done .... 
# miniMD-Reference 2.0 (MPI+OpenMP) output ...
# Run Settings: 
	# MPI processes: 2176
	# OpenMP threads: 1
	# Inputfile: in.lj.miniMD
	# Datafile: None
# Physics Settings: 
	# ForceStyle: LJ
	# Force Parameters: 1.00 1.00
	# Units: LJ
	# Atoms: 131072
	# Atom types: 4
	# System size: 53.75 53.75 53.75 (unit cells: 32 32 32)
	# Density: 0.844200
	# Force cutoff: 2.500000
	# Timestep size: 0.005000
# Technical Settings: 
	# Neigh cutoff: 2.800000
	# Half neighborlists: 1
17900 6.995260e-01 -5.671702e+00 7.272521e-01 31.176
18000 6.975089e-01 -5.668595e+00 7.411818e-01 31.355
18100 6.951677e-01 -5.665105e+00 7.618832e-01 31.543
18200 6.982067e-01 -5.669655e+00 7.321517e-01 31.721
18300 6.977905e-01 -5.669105e+00 7.353952e-01 31.896
18400 6.964503e-01 -5.667104e+00 7.432048e-01 32.079
18500 6.965336e-01 -5.667219e+00 7.472382e-01 32.268
18600 6.960837e-01 -5.666561e+00 7.526543e-01 32.443
18700 6.967584e-01 -5.667547e+00 7.436729e-01 32.631
18800 6.956792e-01 -5.665933e+00 7.516869e-01 32.818
18900 6.975600e-01 -5.668780e+00 7.380835e-01 33.007
19000 6.969971e-01 -5.668019e+00 7.411577e-01 33.194
19100 6.979126e-01 -5.669384e+00 7.342914e-01 33.396
19200 6.980645e-01 -5.669656e+00 7.363296e-01 33.583
19300 6.976879e-01 -5.669183e+00 7.371067e-01 33.761
19400 6.970673e-01 -5.668161e+00 7.371799e-01 33.930
19500 6.956842e-01 -5.666213e+00 7.475760e-01 34.114
19600 6.977716e-01 -5.669213e+00 7.406114e-01 34.295
19700 6.980818e-01 -5.669762e+00 7.356108e-01 34.500
19800 6.980854e-01 -5.669680e+00 7.371946e-01 34.694
19900 6.978113e-01 -5.669314e+00 7.377907e-01 34.899
20000 6.962800e-01 -5.666984e+00 7.442233e-01 35.118
20100 6.962360e-01 -5.666957e+00 7.480622e-01 35.329
20200 6.971230e-01 -5.668325e+00 7.413212e-01 35.528
20300 6.973726e-01 -5.668834e+00 7.367016e-01 35.719
20400 6.960511e-01 -5.666766e+00 7.481649e-01 35.931
20500 6.961346e-01 -5.666856e+00 7.448441e-01 36.124
20600 6.974675e-01 -5.668804e+00 7.386804e-01 36.316
20700 6.977578e-01 -5.669308e+00 7.387732e-01 36.509
20800 6.988042e-01 -5.670891e+00 7.317929e-01 36.699
20900 6.982989e-01 -5.670303e+00 7.353026e-01 36.867
21000 6.963625e-01 -5.667311e+00 7.483557e-01 37.051
21100 6.983610e-01 -5.670397e+00 7.202996e-01 37.210
21200 6.960484e-01 -5.666980e+00 7.468909e-01 37.357
21300 6.970487e-01 -5.668358e+00 7.467143e-01 37.535
21400 6.964302e-01 -5.667446e+00 7.393614e-01 37.653
21500 6.952764e-01 -5.665712e+00 7.558068e-01 37.733
21600 6.955592e-01 -5.666167e+00 7.514959e-01 37.819
21700 6.962823e-01 -5.667240e+00 7.451680e-01 37.901
21800 6.973212e-01 -5.668838e+00 7.361343e-01 37.988
21900 6.951826e-01 -5.665643e+00 7.529823e-01 38.100
22000 6.968373e-01 -5.668138e+00 7.335801e-01 38.293
22100 6.976897e-01 -5.669374e+00 7.409741e-01 38.512
22200 6.966451e-01 -5.667851e+00 7.416070e-01 38.724
22300 6.961958e-01 -5.667230e+00 7.412182e-01 38.955
22400 6.947432e-01 -5.665017e+00 7.544196e-01 39.179
22500 6.966347e-01 -5.667886e+00 7.421869e-01 39.432
22600 6.978603e-01 -5.669866e+00 7.285896e-01 39.661
22700 6.968083e-01 -5.668129e+00 7.451173e-01 39.885
22800 6.965039e-01 -5.667709e+00 7.435850e-01 40.081
22900 6.977759e-01 -5.669643e+00 7.313954e-01 40.283
23000 6.959317e-01 -5.666818e+00 7.494617e-01 40.502
23100 6.968067e-01 -5.668177e+00 7.393972e-01 40.683
23200 6.972146e-01 -5.668845e+00 7.370828e-01 40.909
23300 6.981131e-01 -5.670126e+00 7.347516e-01 41.099
23400 6.954466e-01 -5.666168e+00 7.525718e-01 41.292
23500 6.988190e-01 -5.671305e+00 7.303668e-01 41.470
23600 6.956322e-01 -5.666550e+00 7.473180e-01 41.680
23700 6.957577e-01 -5.666765e+00 7.445072e-01 41.876
23800 6.973881e-01 -5.669159e+00 7.343788e-01 42.066
23900 6.957275e-01 -5.666748e+00 7.484620e-01 42.267
24000 6.969145e-01 -5.668568e+00 7.352633e-01 42.476
24100 6.969859e-01 -5.668533e+00 7.406889e-01 42.681
24200 6.961151e-01 -5.667339e+00 7.513641e-01 42.878
24300 6.947191e-01 -5.665212e+00 7.554448e-01 43.061
24400 6.964656e-01 -5.667778e+00 7.465767e-01 43.242
24500 6.969130e-01 -5.668559e+00 7.453244e-01 43.420
24600 6.944555e-01 -5.664914e+00 7.554091e-01 43.601
24700 6.950695e-01 -5.665736e+00 7.485762e-01 43.811
24800 6.952661e-01 -5.666090e+00 7.503181e-01 44.033
24900 6.969151e-01 -5.668601e+00 7.327539e-01 44.240
25000 6.960479e-01 -5.667337e+00 7.447780e-01 44.448
25100 6.956459e-01 -5.666721e+00 7.454019e-01 44.651
25200 6.954810e-01 -5.666475e+00 7.520481e-01 44.855
25300 6.965320e-01 -5.668097e+00 7.458465e-01 45.066
25400 6.951683e-01 -5.665979e+00 7.545243e-01 45.273
25500 6.973805e-01 -5.669251e+00 7.378293e-01 45.483
25600 6.973464e-01 -5.669303e+00 7.385412e-01 45.680
25700 6.967622e-01 -5.668445e+00 7.479548e-01 45.862
25800 6.968192e-01 -5.668552e+00 7.395701e-01 46.077
25900 6.943926e-01 -5.664864e+00 7.528371e-01 46.289
26000 6.959149e-01 -5.667268e+00 7.422877e-01 46.505
26100 6.964968e-01 -5.668167e+00 7.423577e-01 46.714
